City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
223,Kirakira,SB,-10.4544,161.9205,83.37,72,98,3.11,overcast clouds
224,Batticaloa,LK,7.7102,81.6924,79.56,82,100,8.57,overcast clouds
225,Abonnema,NG,4.7084,6.7931,75.33,85,99,4.74,overcast clouds
226,Awjilah,LY,29.1081,21.2869,77.95,49,0,14.34,clear sky
227,Ambulu,ID,-8.345,113.6058,71.83,89,99,3.18,overcast clouds
228,Bud,US,39.447,-86.1758,89.92,53,0,7.74,clear sky
229,Bethanien,NA,-26.502,17.1583,57.45,32,0,6.76,clear sky
230,Yabelo,ET,4.8833,38.0833,60.13,64,92,12.95,overcast clouds
231,Bilma,NE,18.6853,12.9164,93.02,26,96,7.31,overcast clouds
232,Najran,SA,17.4924,44.1277,86.65,35,71,2.42,broken clouds
233,Bayonet Point,US,28.3267,-82.6834,90.95,77,98,9.48,overcast clouds
234,Koslan,RU,63.4564,48.8989,58.75,77,11,5.35,few clouds
235,Abong Mbang,CM,3.9833,13.1833,67.95,98,100,3.65,overcast clouds
236,Souillac,MU,-20.5167,57.5167,68.38,88,40,12.66,scattered clouds
237,Nanortalik,GL,60.1432,-45.2371,49.91,76,3,7.67,clear sky
238,Colares,PT,38.7992,-9.4469,68.29,73,96,21.0,overcast clouds
239,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,35,0,12.66,clear sky
240,Monrovia,LR,6.3005,-10.7969,76.68,78,100,12.26,overcast clouds
241,Markova,UA,48.6758,24.4138,60.58,58,0,4.99,clear sky
242,Zemio,CF,5.0314,25.1361,68.07,97,100,2.28,light rain
243,Saint-Leu,RE,-21.15,55.2833,65.23,70,23,0.69,few clouds
244,Muros,ES,42.7762,-9.0603,68.09,83,77,15.7,broken clouds
245,Buin,CL,-33.7333,-70.75,68.32,62,0,4.54,clear sky
246,Fukue,JP,32.6881,128.8419,78.04,72,40,11.21,scattered clouds
247,Qala,AZ,40.4418,50.1681,76.89,73,0,25.32,clear sky
248,Huarmey,PE,-10.0681,-78.1522,63.9,80,20,9.46,few clouds
249,Deer Lake,CA,49.1667,-57.4316,71.46,56,75,10.36,broken clouds
250,Port Hardy,CA,50.6996,-127.4199,59.18,77,40,13.8,scattered clouds
251,Evensk,RU,61.95,159.2333,63.97,45,6,5.55,clear sky
252,Pskov,RU,57.8136,28.3496,58.91,100,0,0.0,clear sky
253,Rosario,AR,-32.9468,-60.6393,61.99,63,0,4.61,clear sky
254,Shingu,JP,33.7333,135.9833,84.04,76,6,2.57,clear sky
255,College,US,64.8569,-147.8028,66.2,56,100,6.91,overcast clouds
256,Catuday,PH,16.2923,119.8062,81.34,77,60,9.75,broken clouds
257,Bantou,CN,26.2151,117.4893,81.64,79,2,1.43,clear sky
258,Kovur,IN,14.4833,79.9833,83.89,72,100,2.68,overcast clouds
259,Ruteng,ID,-8.6136,120.4721,61.07,92,54,4.29,broken clouds
260,Laguna,US,38.421,-121.4238,104.31,24,0,6.91,clear sky
261,Saint-Philippe,RE,-21.3585,55.7679,65.21,79,52,12.62,light rain
262,Shimoda,JP,34.6667,138.95,85.1,85,7,10.63,clear sky
263,Neiafu,TO,-18.65,-173.9833,81.28,69,20,9.22,few clouds
264,Mandal,IN,25.45,74.5667,77.77,85,100,6.67,overcast clouds
265,Korla,CN,41.7597,86.1469,74.19,34,0,2.33,clear sky
266,El Dorado,US,38.7666,-120.5177,96.4,17,0,1.99,clear sky
267,Ixtapa,MX,20.7,-105.2,90.23,75,29,4.0,scattered clouds
268,Clyde River,CA,70.4692,-68.5914,41.23,93,100,9.22,light rain
269,Lazaro Cardenas,MX,17.9583,-102.2,87.01,68,41,7.45,scattered clouds
270,Valparaiso,CL,-33.0393,-71.6273,62.83,79,0,5.75,clear sky
271,Abha,SA,18.2164,42.5053,67.82,88,0,6.91,clear sky
272,Cabedelo,BR,-6.9811,-34.8339,74.07,83,96,7.63,overcast clouds
273,Ereymentau,KZ,51.6199,73.1033,57.69,75,4,6.53,clear sky
274,Ancud,CL,-41.8697,-73.8203,41.23,91,100,2.91,light rain
275,Alofi,NU,-19.0595,-169.9187,78.69,69,40,8.05,scattered clouds
276,San Cristobal,VE,7.7669,-72.225,71.78,84,89,4.34,overcast clouds
277,Rawson,AR,-43.3002,-65.1023,44.91,52,100,12.97,overcast clouds
278,Aljezur,PT,37.3191,-8.8033,65.17,91,1,10.09,clear sky
279,Mazamari,PE,-11.3258,-74.5308,76.42,69,3,1.03,clear sky
280,El Reno,US,35.5323,-97.955,94.73,39,40,14.97,scattered clouds
281,Valle De Guadalupe,MX,21.0,-102.6167,86.16,20,13,1.03,few clouds
282,Namibe,AO,-15.1961,12.1522,62.78,87,18,3.44,few clouds
283,Narrabri,AU,-30.3167,149.7833,53.53,80,70,4.0,broken clouds
284,Touros,BR,-5.1989,-35.4608,75.34,84,100,8.5,overcast clouds
285,Chuy,UY,-33.6971,-53.4616,51.85,89,92,6.29,light rain
286,Verkhniy Rohachyk,UA,47.2505,34.338,66.74,62,14,8.72,few clouds
287,Salamiyah,SY,35.0113,37.0532,72.09,69,0,9.78,clear sky
288,Belfast,GB,54.5833,-5.9333,57.02,73,100,5.75,overcast clouds
289,Cascais,PT,38.6979,-9.4215,68.47,72,95,21.0,overcast clouds
290,Cabo San Lucas,MX,22.8909,-109.9124,98.19,38,0,6.91,clear sky
291,Nador,MA,35.174,-2.9287,79.05,83,20,4.61,few clouds
292,Aasiaat,GL,68.7098,-52.8699,40.95,95,100,10.8,overcast clouds
293,Ukiah,US,39.1502,-123.2078,101.44,17,0,12.66,clear sky
294,Gitarama,RW,-2.0744,29.7567,65.66,55,78,1.86,broken clouds
295,Scarborough,GB,54.2797,-0.4044,60.37,84,100,1.99,overcast clouds
296,Tsabong,BW,-26.0217,22.401,59.68,40,17,7.0,few clouds
297,Komsomolskiy,UZ,40.4272,71.7189,79.52,38,0,6.91,clear sky
298,Sept-Iles,CA,50.2001,-66.3821,68.52,70,100,11.5,thunderstorm
299,Bridgetown,BB,13.1,-59.6167,82.89,78,20,20.71,few clouds
300,Tabory,RU,58.5198,64.5495,51.6,97,4,5.01,clear sky
301,Craig,US,40.5153,-107.5464,93.15,14,0,12.66,clear sky
302,Haines Junction,CA,60.7522,-137.5108,64.35,42,100,10.36,overcast clouds
303,Belmonte,BR,-15.8631,-38.8828,71.4,86,57,4.32,broken clouds
304,Boende,CD,-0.2167,20.8667,72.48,91,81,0.67,light rain
305,Te Anau,NZ,-45.4167,167.7167,39.22,91,67,1.21,broken clouds
306,Northampton,US,40.8754,-75.2499,89.71,58,23,8.68,few clouds
307,Latung,PH,5.5,120.8833,82.89,73,68,3.06,broken clouds
308,Geraldton,AU,-28.7667,114.6,54.01,87,100,9.22,overcast clouds
309,Lasa,IT,46.6166,10.7002,72.48,87,45,2.44,scattered clouds
310,Macia,MZ,-25.0269,33.0989,61.88,90,68,3.85,broken clouds
311,Khakhea,BW,-24.6895,23.494,57.51,50,42,6.55,scattered clouds
312,Salta,AR,-24.7859,-65.4117,64.99,61,0,12.66,clear sky
313,Luganville,VU,-15.5333,167.1667,81.36,80,17,7.14,few clouds
314,Guanica,PR,17.9716,-66.908,86.13,85,76,14.9,broken clouds
315,Ust-Kulom,RU,61.6864,53.6902,59.5,77,82,3.78,broken clouds
316,Mengyin,CN,35.7069,117.9264,76.1,75,38,1.21,scattered clouds
317,Sao Jeronimo,BR,-29.9592,-51.7222,65.23,96,97,3.6,overcast clouds
318,Berlevag,NO,70.8578,29.0864,62.4,94,100,6.91,light rain
319,Chulumani,BO,-16.4096,-67.5263,62.49,72,59,3.13,broken clouds
320,Novovorontsovka,UA,47.5004,33.9175,66.34,62,4,11.25,clear sky
321,Millinocket,US,45.6573,-68.7098,82.51,65,0,8.05,clear sky
322,Marzuq,YE,14.4,46.4667,76.93,61,10,7.61,clear sky
323,Cilegon,ID,-6.0174,106.0538,77.41,82,97,3.31,overcast clouds
324,Ulaangom,MN,49.9811,92.0667,61.97,55,89,2.01,overcast clouds
325,Zhuhai,CN,22.2769,113.5678,84.85,94,20,1.14,few clouds
326,Lincoln,US,40.8,-96.667,95.27,46,0,10.36,clear sky
327,Jalu,LY,29.0331,21.5482,76.98,55,0,12.88,clear sky
328,Newport,GB,51.5877,-2.9984,67.68,72,90,7.09,overcast clouds
329,Fasa,IR,28.9383,53.6482,83.44,39,1,4.61,clear sky
330,Ilhabela,BR,-23.7781,-45.3581,68.13,91,42,7.58,scattered clouds
331,Emerald,AU,-23.5333,148.1667,51.94,100,40,4.61,scattered clouds
332,Arroio Grande,BR,-32.2375,-53.0869,59.13,98,100,4.52,moderate rain
333,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,3.44,overcast clouds
334,Aitape,PG,-3.1374,142.3475,79.47,87,98,2.68,overcast clouds
335,Pitkyaranta,RU,61.5734,31.4792,62.74,76,38,4.18,scattered clouds
336,Prince Albert,CA,53.2001,-105.7677,76.95,41,75,17.27,broken clouds
337,Jutai,BR,-5.1833,-68.9,76.39,85,84,2.71,broken clouds
338,Iqaluit,CA,63.7506,-68.5145,42.53,93,40,4.61,fog
339,Riohacha,CO,11.5444,-72.9072,82.51,83,40,16.11,scattered clouds
340,Singaparna,ID,-7.3515,108.111,70.77,98,99,2.51,overcast clouds
341,Erzin,TR,36.9559,36.2,74.55,69,0,2.62,clear sky
