City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
366,Howell,US,88.92,scattered clouds,42.6073,-83.9294,Kensington Inn
370,Hit,IQ,91.06,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
372,Camacha,PT,67.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
373,Tambovka,RU,71.08,scattered clouds,50.0969,128.0489,Lyzhnaya Gorka
374,Flin Flon,CA,69.64,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
375,Gazojak,TM,92.3,clear sky,41.1875,61.4036,
376,Faanui,PF,77.54,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
377,Rojhan,PK,85.75,overcast clouds,28.6868,69.9534,Nawab Imam Bux Khan Bangla
379,Castro Verde,PT,76.42,clear sky,37.6983,-8.0858,Hotel A Esteva
380,Ahuimanu,US,83.91,moderate rain,21.4447,-157.8378,Paradise Bay Resort
383,Vila Franca Do Campo,PT,74.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
384,Karratha,AU,68.0,clear sky,-20.7377,116.8463,ibis Styles Karratha
385,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
387,Balkanabat,TM,85.26,clear sky,39.5108,54.3671,Nebitchi Hotel
388,Mettur,IN,79.32,moderate rain,11.8,77.8,Hotel Akash Residency
391,Galeana,MX,72.01,light rain,24.8333,-100.0667,Mirador
392,Ouegoa,NC,78.8,overcast clouds,-20.35,164.4333,
393,Lorengau,PG,83.59,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
394,Saint Anthony,US,87.82,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
395,Palmer,US,88.41,few clouds,42.1584,-72.3287,Wedgewood Motel
396,Ajaccio,FR,75.25,clear sky,42.0,8.9167,Sole E Monte
401,Yarada,IN,83.98,overcast clouds,17.65,83.2667,Yarada Jungle Beach Resorts
406,Nara,JP,81.72,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
408,Sao Filipe,CV,74.79,overcast clouds,14.8961,-24.4956,Hotel Xaguate
410,Ust-Nera,RU,66.69,scattered clouds,64.5667,143.2,Hotel Ust-Nera
414,Muscatine,US,90.09,clear sky,41.4667,-91.1335,Bed Bekfast
415,Ofaqim,IL,70.72,clear sky,31.3141,34.6203,The Negev Experience
416,Fairbanks,US,66.22,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
418,San Pedro,PH,82.26,scattered clouds,14.35,121.0167,Palines Apartment and Guesthouse
419,Elmwood Park,US,90.97,broken clouds,41.9211,-87.8092,Tia Sandrita
422,Lompoc,US,89.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
424,Vao,NC,73.63,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
425,Mazagao,BR,78.85,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
426,Villamontes,BO,75.36,scattered clouds,-21.25,-63.5,Hotel Raldes
427,Kavaratti,IN,81.12,overcast clouds,10.5669,72.642,Green leaf
431,Monywa,MM,79.61,overcast clouds,22.1167,95.1333,Monywa Hotel
432,Santa Lucia,ES,68.76,clear sky,27.9117,-15.5407,Las Tirajanas
435,Matara,LK,76.82,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
436,Belem De Sao Francisco,BR,74.59,broken clouds,-8.7539,-38.9658,Village Hotel
437,Dingle,PH,79.75,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
439,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
440,Adrar,MR,93.06,overcast clouds,20.5022,-10.0711,
443,Peniche,PT,68.29,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
450,Felipe Carrillo Puerto,MX,89.38,clear sky,19.5833,-88.05,Hotel La Ceiba
452,Ilam,NP,69.33,overcast clouds,26.9167,87.9167,चियाबारी कटेज
453,Lac Du Bonnet,CA,76.41,clear sky,50.2536,-96.0612,Drifter's Inn
457,Sawang Daen Din,TH,76.17,overcast clouds,17.4753,103.4575,บ้านเจเน็ต คอมพิวเตอร์
458,Metro,ID,73.85,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
460,Borogontsy,RU,74.73,few clouds,62.6683,131.1683,
464,Bat Khela,PK,78.17,overcast clouds,34.6167,71.9714,Electric and pipe fitting
465,Puerto Leguizamo,CO,73.42,broken clouds,-0.1934,-74.7819,la casona de juancho
466,Prainha,BR,79.7,broken clouds,-1.8,-53.48,Casa Rocha
471,Takhli,TH,79.75,overcast clouds,15.2634,100.3438,บ้านเพลิน
472,Santa Maria,BR,69.1,light rain,-29.6842,-53.8069,Hotel Morotin
473,Gigmoto,PH,82.81,scattered clouds,13.7796,124.39,Cj's Travellers Inn
474,Nioaque,BR,75.85,few clouds,-21.1353,-55.83,Nioaque Novo Hotel
475,Vilkaviskis,LT,65.44,clear sky,54.6517,23.0322,"Širvintos viešbutis, UAB"
477,Kutum,SD,75.74,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
478,Tahoua,NE,83.61,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
479,Atar,MR,92.8,clear sky,20.5169,-13.0499,Oumou Elghoura
480,Pizarro,CO,77.07,light rain,4.9533,-77.366,Hotel Limonar
481,Bayji,IQ,90.88,clear sky,34.9311,43.486999999999995,دار الضيافة
483,Yumen,CN,67.37,clear sky,40.2833,97.2,
484,Miandrivazo,MG,67.53,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
487,Kotaparh,IN,73.54,overcast clouds,19.15,82.35,Atul Pattnaik
489,Esso,RU,68.52,few clouds,55.9333,158.7,Paramushir Tur
491,Saint-Augustin,CA,67.91,broken clouds,51.226000000000006,-58.6502,
492,Youkounkoun,GN,74.03,heavy intensity rain,12.5333,-13.1333,
494,Les Cayes,HT,83.25,broken clouds,18.2,-73.75,Villa Orphee
495,Dingli,MT,77.81,clear sky,35.8614,14.3822,The Xara Palace Relais & Chateaux
498,Maputo,MZ,65.88,fog,-25.9653,32.5892,Pestana Rovuma
500,Waddan,LY,76.62,clear sky,29.1614,16.139,محل الشريف محمد العايب
502,Santa Cruz,BO,80.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
503,Xuddur,SO,70.97,broken clouds,4.1213,43.8894,Banjanay Hotel
505,Lahijan,IR,76.78,scattered clouds,37.2061,50.0029,Abrishami Hotel
